tld,dot_num,avg_host,max_host,avg_path,max_path,class
com,1,7.0,10,4.0,5,bad
net,1,7.5,12,7.15,18,good
com,1,10.0,14,21.333333333333332,32,bad
net,2,6.0,11,5.0,6,good
com,0,6.0,6,4.666666666666667,6,bad
com,0,10.0,10,13.666666666666666,32,bad
com,1,5.0,7,5.833333333333333,9,good
org,1,5.5,9,69.5,135,good
org,1,4.0,5,9.0,13,good
com,1,3.0,3,4.6,8,good
de,0,10.0,10,5.0,5,bad
com,1,3.5,5,2.0,2,bad
com,1,4.5,5,5.0,8,good
com,1,7.0,8,5.0,10,good
org,1,5.5,9,3.0,5,good
org,1,4.5,6,5.875,12,good
com,1,5.5,8,6.5,9,good
com,0,8.0,8,6.0,6,bad
us,0,9.0,9,5.0,5,bad
org,0,7.0,7,0.0,0,bad
uk,2,3.0,4,5.111111111111111,13,good
es,0,9.0,9,7.0,7,bad
com,1,6.666666666666667,9,8.75,19,bad
top,0,8.0,8,0.0,0,bad
ru,2,3.0,3,5.2,12,good
com,0,12.0,12,6.2,11,bad
org,1,7.5,9,4.625,9,good
org,1,7.666666666666667,10,33.0,33,good
com,0,12.0,12,4.5,9,bad
ru,0,3.0,3,9.5,14,good
com,0,12.0,12,3.6666666666666665,5,bad
com,0,8.0,8,6.777777777777778,16,bad
org,1,6.0,9,6.333333333333333,9,good
com,1,10.5,14,8.0,8,bad
org,1,5.5,9,51.5,99,good
org,1,6.0,9,6.0,8,good
gov,0,5.0,5,8.8,15,good
li,1,4.0,5,4.0,7,good
com,1,6.5,10,3.0,3,bad
edu,1,3.5,4,3.3333333333333335,4,good
com,0,18.0,18,6.2,8,bad
org,1,6.0,10,10.333333333333334,16,good
com,0,12.5,19,5.833333333333333,19,bad
com,0,21.0,21,4.0,5,bad
ca,1,4.0,5,4.333333333333333,6,good
ga,0,8.0,8,87.0,87,bad
net,1,10.5,18,4.928571428571429,11,good
gov,1,6.5,10,6.25,10,good
com,1,6.0,6,4.333333333333333,5,good
com,0,9.0,9,4.2,8,bad
org,1,5.5,9,13.333333333333334,18,good
ru,0,7.0,7,3.0,4,bad
ru,1,6.0,9,0.0,0,bad
ru,0,9.0,9,5.833333333333333,16,good
cl,0,6.0,6,6.0,6,bad
com,0,14.0,14,4.333333333333333,8,bad
uk,2,7.0,16,5.071428571428571,8,good
uk,1,8.0,14,5.666666666666667,9,bad
com,0,17.0,17,11.666666666666666,19,bad
org,0,10.0,10,5.75,8,bad
com,1,8.5,13,6.0,6,good
org,1,5.5,9,8.666666666666666,18,good
com,0,18.0,18,8.0,8,bad
com,2,8.666666666666666,20,8.0,8,bad
net,0,9.0,9,7.0,7,bad
org,1,5.5,9,29.333333333333332,48,good
com,1,5.0,8,3.375,8,bad
org,1,4.5,6,0.0,0,good
org.in,0,3.0,3,4.0,6,bad
com,0,10.0,10,7.0,7,bad
ie,1,5.0,7,8.5,11,good
com,0,14.0,14,3.0,6,bad
edu,1,8.5,9,2.5,3,good
by,0,9.0,9,6.0,6,bad
com,1,10.0,14,4.2,6,good
ru,0,2.0,2,5.8,10,good
fr,1,5.5,8,0.0,0,good
net,0,11.0,11,4.0,7,bad
com,1,10.5,13,6.666666666666667,17,bad
org,1,5.5,9,4.5,5,good
nl,0,9.0,9,7.0,7,bad
edu,1,7.0,8,3.6666666666666665,4,good
com,0,7.0,7,2.6,5,bad
kz,0,7.0,7,9.0,9,bad
com,0,12.0,12,7.5,12,bad
pl,0,9.0,9,0.0,0,bad
uk,2,3.6666666666666665,6,6.0,6,good
com,0,14.0,14,4.5,5,bad
edu,1,4.5,7,3.5,6,good
com,1,5.0,7,6.5,9,good
org,2,4.333333333333333,9,3.0,5,good
com,1,10.0,17,4.333333333333333,5,bad
