tld,dot_num,avg_host,max_host,avg_path,max_path
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,0,21.0,21,3.0,3
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,0,11.0,11,5.5,8
net,0,9.0,9,3.0,3
org,0,10.0,10,3.0,3
com,0,8.0,8,5.2,12
